id,Model,Version release date,Link,Notes,Hugging Face developer id,Display name,Knowledge cutoff date,Description,Official release,Unique display name,ML Models,ML Models 2,ML Models 3,Model publication date,API prices,API Prices (new),Model aggregation,Model aggregation date,ML Models copy,ML Models copy
gemma-3-12b-it,Gemma 3 12B,2025-03-12,https://huggingface.co/google/gemma-3-12b-it,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",google,,2024-08-01,An instruction-tuned version of the 12 billion-parameter model Google DeepMind's Gemma 3 series.,,,,,,2025-03-12,,"gemma-3-12b-it_2026-03-05_Google AI Studio,gemma-3-12b-it_2026-03-05_Google AI Studio,gemma-3-12b-it_2026-03-05_DeepInfra,gemma-3-12b-it_2026-03-05_Crusoe,gemma-3-12b-it_2026-03-05_Cloudflare",,,,Gemma 3 12B
gemma-3-4b-it,Gemma 3 4B,2025-03-12,https://huggingface.co/google/gemma-3-4b-it,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",google,,2024-08-01,An instruction-tuned version of the 4 billion-parameter model Google DeepMind's Gemma 3 series.,,,,,,2025-03-12,,"gemma-3-4b-it_2026-03-05_Google AI Studio,gemma-3-4b-it_2026-03-05_Together,gemma-3-4b-it_2026-03-05_Google AI Studio,gemma-3-4b-it_2026-03-05_DeepInfra",,,,Gemma 3 4B
gemma-3-1b-it,Gemma 3 1B,2025-03-12,https://huggingface.co/google/gemma-3-1b-it,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemma/docs/core/model_card_3#:~:text=The%2027B%20model%20was%20trained,training%20data%20was%20August%202024.",google,,2024-08-01,An instruction-tuned version of the 1 billion-parameter model Google DeepMind's Gemma 3 series.,,,,,,2025-03-12,,,,,,Gemma 3 1B
mistral-small-2503,Mistral Small 3.1,2025-03-17,https://mistral.ai/news/mistral-small-3-1,,,,,"An updated version of Mistral small, a 24 billion-parameter model from Mistral.",,,,,,2025-03-17,,,,,,Mistral Small 3.1
EXAONE-Deep-32B,EXAONE Deep 32B,2025-03-18,https://huggingface.co/LGAI-EXAONE/EXAONE-Deep-32B,,LGAI-EXAONE,,,,,,,,,2025-03-16,,,,,,EXAONE Deep 32B
gemini-2.5-pro-exp-03-25,Gemini 2.5 Pro (Mar 2025),2025-03-25,,"Knowledge cutoff date should be January 1, 2025, according to https://web.archive.org/web/20250326023002/https://ai.google.dev/gemini-api/docs/models#gemini-2.5-pro-exp-03-25.",,Gemini 2.5 Pro Exp (Mar 2025),2025-01-01,A March 2025 preview version of Gemini 2.5 Pro.,,Gemini 2.5 Pro Exp (Mar 2025),,,,2025-03-25,,,Gemini 2.5 Pro (Mar 2025),,,Gemini 2.5 Pro (Mar 2025)
DeepSeek-V3-0324,DeepSeek-V3 (Mar 2025),2025-03-24,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,,deepseek-ai,DeepSeek-V3 (Mar 2025),,An updated version of the DeepSeek V3 model.,,DeepSeek-V3 (Mar 2025),,,,2025-03-24,,"DeepSeek-V3-0324_2026-03-05_DeepInfra,DeepSeek-V3-0324_2026-03-05_AtlasCloud,DeepSeek-V3-0324_2026-03-05_SiliconFlow,DeepSeek-V3-0324_2026-03-05_Chutes,DeepSeek-V3-0324_2026-03-05_Novita,DeepSeek-V3-0324_2026-03-05_Crusoe,DeepSeek-V3-0324_2026-03-05_Nebius,DeepSeek-V3-0324_2026-03-05_BaseTen,DeepSeek-V3-0324_2026-03-05_Hyperbolic,DeepSeek-V3-0324_2026-03-05_SambaNova",,,,DeepSeek-V3 (Mar 2025)
qwen-max-2025-01-25,Qwen2.5-Max,2025-01-25,,,,,,,,Qwen2.5-Max,,,,2025-01-28,,qwen-max-2025-01-25_2026-03-05_Alibaba,,2025-01-25,,Qwen2.5-Max
qwen-plus-2025-01-25,Qwen Plus,2025-01-25,,,,,,,,Qwen Plus (Jan 2025),,,,2024-02-06,,qwen-plus-2025-01-25_2026-03-05_Alibaba,Qwen Plus (Jan 2025),,,Qwen Plus
qwen-turbo-2024-11-01,Qwen-Turbo,2024-11-01,,,,,,,,Qwen Turbo,,,,2024-02-06,,qwen-turbo-2024-11-01_2026-03-05_Alibaba,,2024-11-01,,Qwen-Turbo
qwen2.5-14b-instruct,Qwen2.5-14B,2025-02-26,,,Qwen,,,An instruction-tuned version of Qwen 2.5 14b.,,Qwen2.5-14B (instruct),,,,2024-09-19,,,,,,Qwen2.5-14B
qwen2.5-7b-instruct,Qwen2.5-7B,2025-02-26,,,Qwen,,,An instruction-tuned version of Qwen 2.5 7b.,,Qwen2.5-7B,,,,2024-09-19,,"qwen2.5-7b-instruct_2026-03-05_Phala,qwen2.5-7b-instruct_2026-03-05_AtlasCloud,qwen2.5-7b-instruct_2026-03-05_Together",,,,Qwen2.5-7B
qwen2-57b-a14b-instruct,Qwen2-57B-A14B,2024-11-28,,,Qwen,,,Qwen's 57 billion-parameter (14 billion-active parameter) model in the Qwen 2 series.,,Qwen2-57B-A14B,,,,2024-06-07,,,,,,Qwen2-57B-A14B
qwen2-7b-instruct,Qwen2-7B,2024-11-28,,,Qwen,,,An instruction-tuned version of Qwen 2 7b.,,Qwen2-7B,,,,2024-06-07,,,,,,Qwen2-7B
qvq-max-2025-03-25,QVQ-Max,2025-03-25,,,,,,,,Qwen Max,,,,2025-03-28,,,,,,QVQ-Max
Llama-4-Scout-17B-16E-Instruct,Llama 4 Scout,2025-04-05,,"Knowledge cutoff date is August 1, 2024, according to https://huggingface.co/meta-llama/Llama-4-Scout-17B-16E-Instruct.",meta-llama,,2024-08-01,The 17 billion active (109 billion total)-parameter model in Meta's Llama 4 series.,,,,,,2025-04-05,,"Llama-4-Scout-17B-16E-Instruct_2026-03-05_DeepInfra,Llama-4-Scout-17B-16E-Instruct_2026-03-05_Friendli,Llama-4-Scout-17B-16E-Instruct_2026-03-05_Groq,Llama-4-Scout-17B-16E-Instruct_2026-03-05_Novita,Llama-4-Scout-17B-16E-Instruct_2026-03-05_Google",,2025-04-05,,Llama 4 Scout
Llama-4-Maverick-17B-128E-Instruct-FP8,Llama 4 Maverick,2025-04-05,,"Knowledge cutoff date is August 1, 2024, according to https://deepinfra.com/meta-llama/Llama-4-Maverick-17B-128E-Instruct-FP8.",meta-llama,Llama 4 Maverick (FP8),2024-08-01,"The 17 billion active (400 billion total)-parameter model in Meta's Llama 4 series, quantized to FP8.",,,,,,2025-04-05,,,,,,Llama 4 Maverick
qwq-plus,QWQ-Plus,2025-04-08,,,,,,,,QwQ-Plus,,,,2025-04-08,,,,,,QWQ-Plus
reka-flash-3,Reka Flash 3,2025-03-10,https://huggingface.co/RekaAI/reka-flash-3,,RekaAI,,,,,Reka Flash 3,,,,2025-03-10,,,,,,Reka Flash 3
Llama-3.2-11B-Vision-Instruct,Llama 3.2 11B,2024-09-24,https://huggingface.co/meta-llama/Llama-3.2-11B-Vision-Instruct,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.2-90B-Vision-Instruct.",meta-llama,,2023-12-01,An 11 billion-parameter instruction-tuned vision language model in Meta's Llama 3.2 series.,,,,,,2024-09-24,,"Llama-3.2-11B-Vision-Instruct_2026-03-05_DeepInfra,Llama-3.2-11B-Vision-Instruct_2026-03-05_Cloudflare",,,,Llama 3.2 11B
Qwen2-VL-72B-Instruct,,2024-08-29,,,Qwen,,,A 72 billion-parameter instruction-tuned vision language model in Qwen's Qwen 2 series.,,,,,,,,,,,,
Llama-3.2-3B-Instruct,Llama 3.2 3B,2024-09-24,,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct.",meta-llama,,2023-12-01,A 3 billion-parameter instruction-tuned model in Meta's Llama 3.2 series.,,,,,,2024-09-24,,"Llama-3.2-3B-Instruct_2026-03-05_Venice,Llama-3.2-3B-Instruct_2026-03-05_Cloudflare,Llama-3.2-3B-Instruct_2026-03-05_Together,Llama-3.2-3B-Instruct_2026-03-05_Hyperbolic",,,,Llama 3.2 3B
Llama-3.2-1B-Instruct,Llama 3.2 1B,2024-09-24,,"Knowledge cutoff date is December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct.",meta-llama,,2023-12-01,A 1 billion-parameter instruction-tuned model in Meta's Llama 3.2 series.,,,,,,2024-09-24,,Llama-3.2-1B-Instruct_2026-03-05_Cloudflare,,,,Llama 3.2 1B
Qwen2-VL-7B-Instruct,,2024-08-29,,,Qwen,,,A 7 billion-parameter instruction-tuned vision language model in Qwen's Qwen 2 series.,,,,,,,,,,,,
amazon.nova-pro-v1:0,Amazon Nova Pro,2024-12-03,,,,,,,,,,,,2024-12-03,,amazon.nova-pro-v1:0_2026-03-05_Amazon Bedrock,,,,Amazon Nova Pro
Phi-3-mini-4k-instruct,phi-3-mini 3.8B,2024-04-23,https://huggingface.co/microsoft/Phi-3-mini-4k-instruct,,microsoft,,,A 4 billion-parameter model in Microsoft's Phi-3 open source model series with a 4000-token context length.,,,,,,2024-04-23,,,,,,phi-3-mini 3.8B
OLMo-2-1124-13B-Instruct,OLMo 2 Furious 13B,2024-12-31,,,allenai,,,,,,,,,2024-12-31,,,,,,OLMo 2 Furious 13B
Phi-3-mini-128k-instruct,phi-3-mini 3.8B,2024-04-23,,,microsoft,,,A 4 billion-parameter model in Microsoft's Phi-3 open source model series with a 128k-token context length.,,,,,,2024-04-23,,,,,,phi-3-mini 3.8B
Phi-3-small-8k-instruct,phi-3-small 7.4B,2024-04-23,,,microsoft,,,A 7 billion-parameter model in Microsoft's Phi-3 open source model series with a 8000-token context length.,,,,,,2024-04-23,,,,,,phi-3-small 7.4B
c4ai-command-r-08-2024,,2024-08-30,,,CohereForAI,,,,,,,,,,,,,,,
amazon.nova-micro-v1:0,Amazon Nova Micro,2024-12-03,,,,,,,,,,,,2024-12-03,,amazon.nova-micro-v1:0_2026-03-05_Amazon Bedrock,,,,Amazon Nova Micro
c4ai-command-r-plus-08-2024,Command R+,2024-08-30,,,CohereForAI,,,,,Command R+,,,,2024-04-04,,c4ai-command-r-plus-08-2024_2026-03-05_Cohere,,,,Command R+
amazon.nova-lite-v1:0,Amazon Nova Lite,2024-12-03,,,,,,,,,,,,2024-12-03,,amazon.nova-lite-v1:0_2026-03-05_Amazon Bedrock,,,,Amazon Nova Lite
QwQ-32B-Preview,QwQ-32B,2024-11-28,,,Qwen,,,,,QwQ 32B Preview,,,,2025-03-06,,,QwQ-32B-Preview,2024-11-28,,QwQ-32B
o3-mini-2025-01-31_low,o3-mini,2025-01-31,,"Knowledge cutoff date of 03-mini is September 30, 2023, according to https://platform.openai.com/docs/models/o3-mini.",,,2023-09-30,"A smaller version of OpenAI's o3 reasoning model, evaluated with low reasoning effort.",,,,,,2025-01-31,,o3-mini-2025-01-31_low_2026-03-05_OpenAI,,,,o3-mini
sonar,,,https://docs.perplexity.ai/guides/model-cards,,,Perplexity Sonar,,,,,,,,,,,,,,
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder (32B),2024-11-21,,,Qwen,,,An instruction-tuned and coding-optimized 32 billion-parameter model in the Qwen 2.5 series.,,Qwen2.5-Coder-32B (instruct),,,,2024-11-12,,"Qwen2.5-Coder-32B-Instruct_2026-03-05_Hyperbolic,Qwen2.5-Coder-32B-Instruct_2026-03-05_Cloudflare",Qwen2.5-Coder-32B-Instruct,2024-11-21,,Qwen2.5-Coder (32B)
c4ai-command-a-03-2025,Cohere Command A,2025-03-13,,,CohereForAI,,,,,Command A,,,,2025-03-13,,c4ai-command-a-03-2025_2026-03-05_Cohere,,,,Cohere Command A
codestral-2501,Codestral,2025-01-13,https://mistral.ai/news/codestral-2501,,,,,A January 2025 version of a 2024 coding-optimized model from Mistral.,,,,,,2024-05-29,,"""codestral-2501, codestral-2508_2026-03-05_Mistral""",,,,Codestral
grok-3-beta,Grok 3,2025-04-09,,,,,,A beta release of XAI's third generation Grok model.,,Grok 3 (beta),,,,2025-02-17,,"grok-3-beta_2026-03-05_xAI,grok-3-beta_2026-03-05_xAI",,,,Grok 3
grok-3-mini-beta_low,Grok-3 mini,2025-04-09,,,,,,"A beta release of a smaller version of XAI's third generation Grok model, evaluated with low reasoning effort.",,,,,,2025-02-19,,,,,,Grok-3 mini
grok-3-mini-beta_high,Grok-3 mini,2025-04-09,,,,,,"A beta release of a smaller version of XAI's third generation Grok model, evaluated with high reasoning effort.",,,,,,2025-02-19,,,,,,Grok-3 mini
gemini-1.5-flash-0514,Gemini 1.5 Flash,2024-05-14,https://cloud.google.com/vertex-ai/generative-ai/docs/release-notes#May_14_2024,"Gemini 1.5 Flash (gemini-1.5-flash-preview-0514) is available in Preview. Gemini 1.5 Flash is a multimodal model designed for fast, high volume, cost-effective text generation and chat applications. It can analyze text, code, audio, PDF, video, and video with audio.",,,,,,,,,,2024-05-10,,,Gemini 1.5 Flash (May 2024),,,Gemini 1.5 Flash
gpt-4.1-2025-04-14,GPT-4.1,2025-04-14,,"This is the current version of this model and has a knowledge cutoff date of May 31, 2024, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-41-series.",,GPT-4.1,2024-05-31,A coding-optimized GPT-4 series model from OpenAI.,,,,,,2025-04-14,,"gpt-4.1-2025-04-14_2026-03-05_OpenAI,gpt-4.1-2025-04-14_2026-03-05_Azure",,,,GPT-4.1
gpt-4.1-mini-2025-04-14,GPT-4.1 mini,2025-04-14,,"This is the current version of this model and has a knowledge cutoff date of May 31, 2024, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-41-series.",,GPT-4.1 mini,2024-05-31,A smaller version of OpenAI's GPT-4.1.,,,,,,2025-04-14,,"gpt-4.1-mini-2025-04-14_2026-03-05_OpenAI,gpt-4.1-mini-2025-04-14_2026-03-05_Azure",,,,GPT-4.1 mini
gpt-4.1-nano-2025-04-14,GPT-4.1 nano,2025-04-14,,"This is the current version of this model and has a knowledge cutoff date of May 31, 2024, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-41-series.",,GPT-4.1 nano,2024-05-31,The smallest version of OpenAI's GPT-4.1.,,,,,,2025-04-14,,"gpt-4.1-nano-2025-04-14_2026-03-05_OpenAI,gpt-4.1-nano-2025-04-14_2026-03-05_Azure",,,,GPT-4.1 nano
Qwen2.5-VL-72B-Instruct,Qwen2.5-72B,2024-09-19,https://huggingface.co/Qwen/Qwen2.5-VL-72B-Instruct,,Qwen,,,A 72 billion-parameter instruction-tuned vision language model in the Qwen 2.5 series.,,Qwen2.5-VL-72B,,,,2024-09-19,,"Qwen2.5-VL-72B-Instruct_2026-03-05_Novita,Qwen2.5-VL-72B-Instruct_2026-03-05_Parasail",,,,Qwen2.5-72B
gemini-exp-1206,Gemini 2.0 Flash,2024-12-06,https://blog.google/feed/gemini-exp-1206/,,,,,"A December 2024 experimental version of Gemini 2.0 Flash, a small langauge model from Google DeepMind.",,,,,,2024-12-11,,,Gemini 2.0 Flash (Dec 2024),,,Gemini 2.0 Flash
gemini-2.0-flash-exp,Gemini 2.0 Flash,2024-12-11,,"Knowledge cutoff date appears to be August 1, 2024, according to https://aimlapi.com/models/gemini-2-0-flash-experimental and https://web.archive.org/web/20250318112218/https://ai.google.dev/gemini-api/docs/models/gemini#model-versions.",,,2024-08-01,"A December 2024 experimental version of Gemini 2.0 Flash, a small langauge model from Google DeepMind.",,,,,,2024-12-11,,,Gemini 2.0 Flash (Dec 2024),,,Gemini 2.0 Flash
qwen2.5-max,Qwen2.5-Max,2025-01-28,,,,,,The largest model in the Qwen 2.5 series.,,Qwen2.5-Max,,,,2025-01-28,,,,2025-01-25,,Qwen2.5-Max
gemini-2.0-flash-lite,Gemini 2.0 Flash-Lite,2025-02-05,,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemini-api/docs/models.",,,2024-08-01,The smallest model in Google DeepMind's Gemini 2.0 series.,,,,,,2025-02-05,,"gemini-2.0-flash-lite_2026-03-05_Google,gemini-2.0-flash-lite_2026-03-05_Google AI Studio",,,,Gemini 2.0 Flash-Lite
gemini-2.0-flash-lite-001,Gemini 2.0 Flash-Lite,2025-02-25,,"Knowledge cutoff date is June 1, 2024, according to https://cloud.google.com/vertex-ai/generative-ai/docs/models/gemini/2-0-flash-lite.",,,2024-06-01,The first version of the smallest model in Google DeepMind's Gemini 2.0 series.,,,,,,2025-02-05,,"gemini-2.0-flash-lite-001_2026-03-05_Google,gemini-2.0-flash-lite-001_2026-03-05_Google AI Studio",,,,Gemini 2.0 Flash-Lite
gemini-2.0-flash-lite-preview-02-05,Gemini 2.0 Flash-Lite,2025-02-05,,"Knowledge cutoff date appears to be August 1, 2024, according to https://web.archive.org/web/20250318112218/https://ai.google.dev/gemini-api/docs/models.",,,2024-08-01,A February 2025 preview version of the smallest model in Google DeepMind's Gemini 2.0 series.,,,,,,2025-02-05,,,,,,Gemini 2.0 Flash-Lite
sonar-pro,Sonar,2025-01-21,https://www.perplexity.ai/hub/blog/introducing-the-sonar-pro-api,,,,,A search-optimized language model from Perplexity.,,Sonar Pro,,,,2025-01-21,,sonar-pro_2026-03-05_Perplexity,,,,Sonar
Dracarys2-Llama-3.1-70B-Instruct,,2024-08-14,https://huggingface.co/abacusai/Dracarys2-Llama-3.1-70B-Instruct,"The base model has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-70B-Instruct.",abacusai,,2023-12-01,,,,,,,,,,,,,
Dracarys2-72B-Instruct,,2024-09-30,https://huggingface.co/abacusai/Dracarys2-72B-Instruct,,abacusai,,,,,,,,,,,,,,,
learnlm-1.5-pro-experimental,,,,,,,,,,,,,,,,,,,,
gemini-2.0-flash-02-05,Gemini 2.0 Flash,2025-02-05,,"Knowledge cutoff date is August 1, 2024, according to https://ai.google.dev/gemini-api/docs/models.",,,2024-08-01,"A February 2025 version of Gemini 2.0 Flash, a small language model from Google DeepMind.",,,,,,2024-12-11,,,Gemini 2.0 Flash (Feb 2025),,,Gemini 2.0 Flash
claude-3-7-sonnet-20250219_8K,Claude 3.7 Sonnet,2025-02-24,,"Knowledge cutoff date is likely November 1, 2024, the same as that of claude-3-7-sonnet-20250219, according to https://docs.anthropic.com/en/docs/about-claude/models/overview.",,Claude 3.7 Sonnet (8k thinking),2024-11-01,"A previous flagship reasoning model from Anthropic, benchmarked with up to 9,000 reasoning tokens allowed.",,Claude 3.7 Sonnet (8k thinking),,,,2025-02-24,,claude-3-7-sonnet-20250219_8K_2026-03-05_Google,,,,Claude 3.7 Sonnet
CUA,Computer-Using Agent (CUA),2025-01-23,,,,,,,,,,,,2025-01-23,,,,,,Computer-Using Agent (CUA)
o3-2025-04-16_medium,o3,2025-04-16,,"Knowledge cutoff date of o3 is May 31, 2024, according to https://platform.openai.com/docs/models/o3.",,o3 (medium),2024-05-31,"OpenAI's second generation o-series reasoning model, evaluated with medium reasoning effort.",,,,,,2024-12-20,,o3-2025-04-16_medium_2026-03-05_OpenAI,,,,o3
o3-2025-04-16_high,o3,2025-04-16,,"Knowledge cutoff date of o3 is May 31, 2024, according to https://platform.openai.com/docs/models/o3.",,o3 (high),2024-05-31,"OpenAI's second generation o-series reasoning model, evaluated with high reasoning effort.",,,,,,2024-12-20,,o3-2025-04-16_high_2026-03-05_OpenAI,,,,o3
o4-mini-2025-04-16_medium,o4-mini,2025-04-16,,"Knowledge cutoff date of o4-mini is May 31, 2024, according to https://platform.openai.com/docs/models/o4-mini.",,o4-mini (medium),2024-05-31,"The latest smaller size o-series reasoning model from OpenAI, evaluated with medium reasoning effort.",,,,,,2025-04-16,,o4-mini-2025-04-16_medium_2026-03-05_OpenAI,,,,o4-mini
o4-mini-2025-04-16_high,o4-mini,2025-04-16,,"Knowledge cutoff date of o4-mini is May 31, 2024, according to https://platform.openai.com/docs/models/o4-mini.",,o4-mini (high),2024-05-31,"The latest smaller size o-series reasoning model from OpenAI, evaluated with high reasoning effort.",,,,,,2025-04-16,,o4-mini-2025-04-16_high_2026-03-05_OpenAI,,,,o4-mini
gemini-2.5-flash-preview-04-17,Gemini 2.5 Flash,2025-04-17,,"Knowledge cutoff date is January 1, 2025, according to https://9to5google.com/2025/04/17/gemini-2-5-flash-preview-launch/.",,Gemini 2.5 Flash Preview (Apr 2025),2025-01-01,"An April 2025 preview of Gemini 2.5 Flash, a small model in Google DeepMind's Gemini 2.5 series.",,,,,,2025-04-17,,,Gemini 2.5 Flash (Apr 2025),2025-04-17,,Gemini 2.5 Flash
o3-2025-04-16_low,o3,2025-04-16,,"Knowledge cutoff date of o3 is May 31, 2024, according to https://platform.openai.com/docs/models/o3.",,o3 (low),2024-05-31,"OpenAI's latest full-size o-series reasoning model release, evaluated on low reasoning effort.",,,,,,2024-12-20,,o3-2025-04-16_low_2026-03-05_OpenAI,,,,o3
o4-mini-2025-04-16_low,o4-mini,2025-04-16,,"Knowledge cutoff date of o4-mini is May 31, 2024, according to https://platform.openai.com/docs/models/o4-mini.",,o4-mini (low),2024-05-31,"The latest smaller size o-series reasoning model from OpenAI, evaluated with low reasoning effort.",,,,,,2025-04-16,,o4-mini-2025-04-16_low_2026-03-05_OpenAI,,,,o4-mini
yi-lightning,Yi-Lightning,2024-12-02,https://huggingface.co/papers/2412.01253,Only a technical report available,,,,,,Yi-Lightning,,,,2024-10-18,,,,,,Yi-Lightning
Llama-4-Maverick-17B-128E-Instruct,Llama 4 Maverick,2025-04-05,,"Knowledge cutoff date is August 1, 2024, according to https://huggingface.co/meta-llama/Llama-4-Maverick-17B-128E-Instruct.",meta-llama,Llama 4 Maverick,2024-08-01,The 17 billion active (400 billion total)-parameter model in Meta's Llama 4 series.,,,,,,2025-04-05,,"Llama-4-Maverick-17B-128E-Instruct_2026-03-05_DeepInfra,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Groq,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Novita,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Together,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Parasail,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Google,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_Google,Llama-4-Maverick-17B-128E-Instruct_2026-03-05_SambaNova",,,,Llama 4 Maverick
QwQ-32B-Preview-Q8_0-GGUF,QwQ-32B,2024-12-27,https://huggingface.co/Triangle104/QwQ-32B-Preview-Q8_0-GGUF,,Triangle104,,,,,QwQ 32B Preview (Q8 GGUF),,,,2025-03-06,,,QwQ-32B-Preview,2024-11-28,,QwQ-32B
Qwen2.5-Coder-32B-Instruct-Q8_0-GGUF,Qwen2.5-32B,2025-02-16,https://huggingface.co/Lucy-in-the-Sky/Qwen2.5-Coder-32B-Instruct-Q8_0-GGUF,,Lucy-in-the-Sky,,,,,Qwen2.5-Coder-32B (instruct) (Q8 GGUF),,,,2024-09-17,,,,2024-09-17,,Qwen2.5-32B
Llama-3.3-70B-Instruct-Q8_0-GGUF-draft,Llama 3.3 70B,2025-03-20,https://huggingface.co/hope-hui/Llama-3.3-70B-Instruct-Q8_0-GGUF-draft,"Converted to gguf format from Llama-3.3-70B-Instruct, which has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct.",hope-hui,,2023-12-01,,,,,,,2024-12-06,,,,2024-12-06,,Llama 3.3 70B
gemini-2.0-flash-thinking-exp-1219,Gemini 2.0 Flash Thinking,2024-12-19,,"Knowledge cutoff date appears to be August 1, 2024, according to https://www.neowin.net/news/google-takes-on-openai-o1-series-with-the-new-gemini-20-flash-thinking-model/.",,,2024-08-01,"A December 2024 experimental version of Google DeepMind's Gemini 2.0 Flash Thinking, a small reasoning model.",,,,,,2024-12-19,,,Gemini 2.0 Flash Thinking (Dec 2024),2024-12-19,,Gemini 2.0 Flash Thinking
qwen-plus-2025-04-28,Qwen Plus,2025-04-28,,,,,,,,Qwen Plus (Apr 2025),,,,2024-02-06,,qwen-plus-2025-04-28_2026-03-05_Alibaba,Qwen Plus (Apr 2025),,,Qwen Plus
gpt-3.5-turbo-instruct,GPT-3.5 Turbo Instruct,2023-09-18,,"This model seems to have had a knowledge cutoff date of September 1, 2021, according to https://learn.microsoft.com/en-us/azure/ai-services/openai/concepts/models?tabs=global-standard%2Cstandard-chat-completions#gpt-35.",,,2021-09-01,An instruction-tuned version of OpenAI's GPT-3.5 turbo.,,,,,,2023-09-28,,gpt-3.5-turbo-instruct_2026-03-05_OpenAI,,,,GPT-3.5 Turbo Instruct
gpt2-xl,GPT-2 (1.5B),2019-11-05,https://huggingface.co/openai-community/gpt2-xl,,openai-community,,,"The largest version of GPT-2, OpenAI's second generation transformer-based large pretrained language model.",,,,,,2019-02-14,,,,,,GPT-2 (1.5B)
llama3.1:405b-instruct-q4_K_M,Llama 3.1-405B,2024-07-23,https://ollama.com/library/llama3.1:405b-instruct-q4_K_M,"Based on Llama 3.1, which has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct.",,,2023-12-01,,,,,,,2024-07-23,,,,,,Llama 3.1-405B
llama3.3:70b-instruct-q8_0,Llama 3.3 70B,2024-12-06,https://ollama.com/library/llama3.3:70b-instruct-q8_0,"Knowledge cutoff date appears to be December 1, 2023, according to https://build.nvidia.com/meta/llama-3_3-70b-instruct/modelcard.",,,2023-12-01,,,,,,,2024-12-06,,,,2024-12-06,,Llama 3.3 70B
llama3.1:8b-instruct-q8_0,Llama 3.1-8B,2024-07-23,https://ollama.com/library/llama3.1:8b-instruct-q8_0,"Based on Llama 3.1, which has a knowledge cutoff date of December 1, 2023, according to https://huggingface.co/meta-llama/Llama-3.1-8B-Instruct.",,,2023-12-01,,,,,,,2024-07-23,,,,,,Llama 3.1-8B
phi4:14b-q8_0,Phi-4,2025-02-26,https://ollama.com/library/phi4:14b-q8_0,,,,,,,,,,,2024-12-12,,,Phi-4,2024-12-12,,Phi-4
Phi-4-reasoning,Phi-4,2025-04-30,https://huggingface.co/microsoft/Phi-4-reasoning,,microsoft,,,A 14 billion-parameter open source reasoning model from Microsoft.,,,,,,2024-12-12,,,Phi-4 Reasoning,2025-04-30,,Phi-4
gemma2:27b-instruct-q8_0,Gemma 2 27B,2024-06-27,https://ollama.com/library/gemma2:27b-instruct-q8_0,,,,,,,,,,,2024-06-24,,,,,,Gemma 2 27B
chatgpt-4o-11-20-2024,GPT-4o,2024-11-20,,"Inferred from release notes, OpenAI API currently doesn't specify specific dates.
This model appears to have had a knowledge cutoff date of November 1, 2023, prior to January 29, 2025, according to https://help.openai.com/en/articles/9624314-model-release-notes#h_826f21517f.",,,2023-11-01,"A version of GPT-4o that was behind the ChatGPT interface, released in November 2024.",,ChatGPT-4o (Nov 2024),,,,2024-05-13,,,GPT-4o (Nov 2024),,,GPT-4o
chatgpt-4o-01-29-2025,GPT-4o,2025-01-29,,"Inferred from release notes, OpenAI API currently doesn't specify specific dates.
This model had a knowledge cutoff date of June 1, 2024, according to https://help.openai.com/en/articles/9624314-model-release-notes#h_826f21517f.",,,2024-06-01,"A version of GPT-4o that was behind the ChatGPT interface, released in January 2025.",,ChatGPT-4o (Jan 2025),,,,2024-05-13,,,GPT-4o (Jan 2025),,,GPT-4o
